# SPH simulations of collisions between MS stars (Freitag & Benz 2005), computed with an SPH code developed by Willy Benz
# Available on-line at http://www.ast.cam.ac.uk/~freitag/MODEST_WG4/FB_Collision_Data/

# If you use these results, please cite Freitag & Benz 2004
# In case of questions, problems or if you want to report errors, contact Marc Freitag (marc.freitag@gmail.com)

# All quantities are in solar units: R_sun = 7e8 m; M_sun = 2e30 kg; G=1

# ----------------------------------------------------------------------
# This file contains information about the stellar models
# ----------------------------------------------------------------------
# Note that not all stellar models have been used for Freitag & Benz 2004

# The quantities in this file are the following:

# Star_id       : Unique id number for the model (same as fields Star_id_1 and Star_id_2 in init_cond.txt)
# Name          : Model name (for authors' use)
# NominalMass   : Nominal mass (in general ZAMS mass)
# Mass          : Actual mass
# Radius        : Radius (theoretical; the radius of the SPH configuration may be different, see Fig. 8 of Freitag & Benz 2005)
# R50,R75,R90   : Radius enclosing 50, 75 and 90% of the stellar mass
# PartNumber    : Number of SPH particles
# StructureFile : Name of file containing stellar struture (for authors' use)

Star_id  Name               NominalMass  Mass        Radius      R50         R75         R90         PartNumber  StructureFile
     15  m0p4_3500           4.000e-01    4.000e-01   3.640e-01   1.881e-01   2.387e-01   2.773e-01        3568  m0p4z020y028_mo.07591.si
     16  m0p4_3500_r         4.000e-01    4.000e-01   3.640e-01   1.881e-01   2.387e-01   2.773e-01        3568  m0p4z020y028_mo.07591.si
     17  m0p5_1000           5.000e-01    5.000e-01   4.350e-01   2.108e-01   2.756e-01   3.249e-01         870  m0p5z020y028_mo.03569.si
     18  m0p5_1000_r         5.000e-01    5.000e-01   4.350e-01   2.108e-01   2.756e-01   3.249e-01         870  m0p5z020y028_mo.03569.si
     19  m0p5_2000           5.000e-01    5.000e-01   4.350e-01   2.108e-01   2.756e-01   3.249e-01        1812  m0p5z020y028_mo.03569.si
     20  m0p5_2000_r         5.000e-01    5.000e-01   4.350e-01   2.108e-01   2.756e-01   3.249e-01        1812  m0p5z020y028_mo.03569.si
     21  m0p5_4000           5.000e-01    5.000e-01   4.350e-01   2.108e-01   2.756e-01   3.249e-01        4009  m0p5z020y028_mo.03569.si
     22  m0p5_4000_r         5.000e-01    5.000e-01   4.350e-01   2.108e-01   2.756e-01   3.249e-01        4009  m0p5z020y028_mo.03569.si
     23  m0p6_1000           6.000e-01    6.000e-01   5.370e-01   2.275e-01   3.099e-01   3.805e-01        1079  m0p6z020y028_mo.07758.si
     24  m0p6_1000_r         6.000e-01    6.000e-01   5.370e-01   2.275e-01   3.099e-01   3.805e-01        1079  m0p6z020y028_mo.07758.si
     25  m0p6_2000           6.000e-01    6.000e-01   5.370e-01   2.275e-01   3.099e-01   3.805e-01        2108  m0p6z020y028_mo.07758.si
     26  m0p6_2000_r         6.000e-01    6.000e-01   5.370e-01   2.275e-01   3.099e-01   3.805e-01        2108  m0p6z020y028_mo.07758.si
     27  m0p6_4000           6.000e-01    6.000e-01   5.370e-01   2.275e-01   3.099e-01   3.805e-01        3878  m0p6z020y028_mo.07758.si
     28  m0p6_4000_r         6.000e-01    6.000e-01   5.370e-01   2.275e-01   3.099e-01   3.805e-01        3878  m0p6z020y028_mo.07758.si
     29  m0p7_1000           7.000e-01    7.000e-01   6.380e-01   2.386e-01   3.313e-01   4.226e-01        1040  m0p7z020y028_mo.05720.si
     30  m0p7_1000_r         7.000e-01    7.000e-01   6.380e-01   2.386e-01   3.313e-01   4.226e-01        1040  m0p7z020y028_mo.05720.si
     31  m0p7_2000           7.000e-01    7.000e-01   6.380e-01   2.386e-01   3.313e-01   4.226e-01        2050  m0p7z020y028_mo.05720.si
     32  m0p7_2000_r         7.000e-01    7.000e-01   6.380e-01   2.386e-01   3.313e-01   4.226e-01        2050  m0p7z020y028_mo.05720.si
     33  m0p7_3500           7.000e-01    7.000e-01   6.380e-01   2.386e-01   3.313e-01   4.226e-01        3677  m0p7z020y028_mo.05720.si
     34  m0p7_3500_r         7.000e-01    7.000e-01   6.380e-01   2.386e-01   3.313e-01   4.226e-01        3677  m0p7z020y028_mo.05720.si
     35  m0p8_1000           8.000e-01    8.159e-01   7.170e-01   2.426e-01   3.425e-01   4.505e-01         918  m0p8z020_241.si         
     36  m0p8_1000_1         8.000e-01    8.000e-01   7.170e-01   2.426e-01   3.425e-01   4.505e-01        1019  m0p8z020_241.si         
     37  m0p8_2000           8.000e-01    8.000e-01   7.170e-01   2.426e-01   3.425e-01   4.505e-01        1941  m0p8z020_241.si         
     38  m0p8_4000           8.000e-01    8.074e-01   7.170e-01   2.426e-01   3.425e-01   4.505e-01        3781  m0p8z020_241.si         
     39  m0p8_4000_1         8.000e-01    8.000e-01   7.170e-01   2.426e-01   3.425e-01   4.505e-01        4033  m0p8z020_241.si         
     40  m0p9_1000           9.000e-01    9.136e-01   8.210e-01   2.476e-01   3.533e-01   4.728e-01         913  m0p9z020_231.si         
     41  m0p9_1000_1         9.000e-01    9.000e-01   8.210e-01   2.476e-01   3.533e-01   4.728e-01         963  m0p9z020_231.si         
     42  m0p9_2000           9.000e-01    9.092e-01   8.210e-01   2.476e-01   3.533e-01   4.728e-01        1863  m0p9z020_231.si         
     43  m0p9_2000_1         9.000e-01    9.000e-01   8.390e-01   2.476e-01   3.533e-01   4.728e-01        1837  m0p9z020_231.si         
     44  m0p9_4000           9.000e-01    9.068e-01   8.210e-01   2.476e-01   3.533e-01   4.728e-01        3770  m0p9z020_231.si         
     45  m0p9_4000_1         9.000e-01    9.000e-01   8.210e-01   2.476e-01   3.533e-01   4.728e-01        3939  m0p9z020_231.si         
     46  m120p0_16000        1.200e+02    1.013e+02   2.027e+01   4.613e+00   6.151e+00   7.712e+00       15207  m120E020_111.si         
     47  m120p0_2000         1.200e+02    1.013e+02   2.027e+01   4.613e+00   6.151e+00   7.712e+00        1960  m120E020_111.si         
     48  m120p0_4000         1.200e+02    1.013e+02   2.027e+01   4.613e+00   6.151e+00   7.712e+00        3972  m120E020_111.si         
     49  m120p0_8000         1.200e+02    1.013e+02   2.027e+01   4.613e+00   6.151e+00   7.712e+00        7540  m120E020_111.si         
     50  m12p0_2000          1.200e+01    1.196e+01   6.179e+00   1.439e+00   2.010e+00   2.600e+00        2116  m012z020_161.si         
     51  m12p0_4000          1.200e+01    1.196e+01   6.179e+00   1.439e+00   2.010e+00   2.600e+00        3800  m012z020_161.si         
     52  m12p0_8000          1.200e+01    1.196e+01   6.179e+00   1.439e+00   2.010e+00   2.600e+00        7791  m012z020_161.si         
     53  m15p0_16000         1.500e+01    1.475e+01   7.127e+00   1.633e+00   2.304e+00   2.965e+00       15028  m015E020_186.si         
     54  m15p0_2000          1.500e+01    1.475e+01   7.127e+00   1.633e+00   2.304e+00   2.965e+00        2110  m015E020_186.si         
     55  m15p0_4000          1.500e+01    1.475e+01   7.127e+00   1.633e+00   2.304e+00   2.965e+00        3790  m015E020_186.si         
     56  m15p0_8000          1.500e+01    1.475e+01   7.127e+00   1.633e+00   2.304e+00   2.965e+00        7788  m015E020_186.si         
     57  m1p0_1000           1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        1109  m001z02n_391.si         
     58  m1p0_1000_1         1.000e+00    1.011e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01         907  m001z02n_391.si         
     59  m1p0_1000_r         1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        1109  m001z02n_391.si         
     60  m1p0_1000_r_1       1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        1004  m001z02n_391.si         
     61  m1p0_2000           1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        2049  m001z02n_391.si         
     62  m1p0_4000           1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        4121  m001z02n_391.si         
     63  m1p0_4000_1         1.000e+00    1.005e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        3754  m001z02n_391.si         
     64  m1p0_4000_r         1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        4121  m001z02n_391.si         
     65  m1p0_4000_r_1       1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        3998  m001z02n_391.si         
     66  m1p0_9500           1.000e+00    1.000e+00   1.079e+00   2.422e-01   3.619e-01   4.849e-01        9613  m001z02n_391.si         
     67  m1p2_1000           1.200e+00    1.200e+00   1.425e+00   2.813e-01   4.131e-01   5.703e-01        1073  m1p2z2av_281.si         
     68  m1p2_2000           1.200e+00    1.203e+00   1.425e+00   2.813e-01   4.131e-01   5.703e-01        1856  m1p2z2av_281.si         
     69  m1p2_2000_x         1.200e+00    1.200e+00   1.425e+00   2.813e-01   4.131e-01   5.703e-01        1856  m1p2z2av_281.si         
     70  m1p2_2000_1         1.200e+00    1.250e+00   1.425e+00   2.813e-01   4.131e-01   5.703e-01        1996  m1p2z2av_281.si         
     71  m1p2_4000           1.200e+00    1.200e+00   1.425e+00   2.813e-01   4.131e-01   5.703e-01        3936  m1p2z2av_281.si         
     72  m1p5_1000           1.500e+00    1.500e+00   1.826e+00   3.098e-01   4.528e-01   5.983e-01        1093  m1p5new2_151.si         
     73  m1p5_2000           1.500e+00    1.537e+00   1.826e+00   3.098e-01   4.528e-01   5.983e-01        2087  m1p5new2_151.si         
     74  m1p5_2000_1         1.500e+00    1.500e+00   1.826e+00   3.098e-01   4.528e-01   5.983e-01        2120  m1p5new2_151.si         
     75  m1p5_4000           1.500e+00    1.500e+00   1.826e+00   3.098e-01   4.528e-01   5.983e-01        3931  m1p5new2_151.si         
     76  m1p7_1000           1.700e+00    1.700e+00   2.050e+00   3.436e-01   5.036e-01   6.746e-01        1084  m1p7z02n_171.si         
     77  m1p7_2000           1.700e+00    1.700e+00   2.050e+00   3.436e-01   5.036e-01   6.746e-01        2334  m1p7z02n_171.si         
     78  m1p7_2500           1.700e+00    1.733e+00   2.050e+00   3.436e-01   5.036e-01   6.746e-01        2470  m1p7z02n_171.si         
     79  m1p7_4000           1.700e+00    1.700e+00   2.050e+00   3.436e-01   5.036e-01   6.746e-01        3929  m1p7z02n_171.si         
     80  m20p0_16000         2.000e+01    1.932e+01   8.774e+00   1.925e+00   2.783e+00   3.618e+00       14896  m020E020_186.si         
     81  m20p0_2000          2.000e+01    1.932e+01   8.774e+00   1.925e+00   2.783e+00   3.618e+00        2105  m020E020_186.si         
     82  m20p0_4000          2.000e+01    1.932e+01   8.774e+00   1.925e+00   2.783e+00   3.618e+00        3792  m020E020_186.si         
     83  m20p0_8000          2.000e+01    1.932e+01   8.774e+00   1.925e+00   2.783e+00   3.618e+00        7728  m020E020_186.si         
     84  m25p0_16000         2.500e+01    2.396e+01   1.001e+01   2.152e+00   3.132e+00   4.081e+00       14956  m025E020_166.si         
     85  m25p0_2000          2.500e+01    2.396e+01   1.001e+01   2.152e+00   3.132e+00   4.081e+00        2108  m025E020_166.si         
     86  m25p0_4000          2.500e+01    2.396e+01   1.001e+01   2.152e+00   3.132e+00   4.081e+00        3771  m025E020_166.si         
     87  m25p0_8000          2.500e+01    2.396e+01   1.001e+01   2.152e+00   3.132e+00   4.081e+00        7748  m025E020_166.si         
     88  m2p0_1000           2.000e+00    2.000e+00   2.332e+00   4.013e-01   5.863e-01   8.031e-01        1082  m002z020_181.si         
     89  m2p0_2000           2.000e+00    2.000e+00   2.332e+00   4.013e-01   5.863e-01   8.031e-01        2080  m002z020_181.si         
     90  m2p0_2500           2.000e+00    2.039e+00   2.332e+00   4.013e-01   5.863e-01   8.031e-01        2473  m002z020_181.si         
     91  m2p0_4000           2.000e+00    2.000e+00   2.332e+00   4.013e-01   5.863e-01   8.031e-01        3933  m002z020_181.si         
     92  m2p5_1000           2.500e+00    2.500e+00   2.626e+00   4.756e-01   6.832e-01   9.181e-01        1101  m2p5z020_171.si         
     93  m2p5_2000           2.500e+00    2.500e+00   2.626e+00   4.756e-01   6.832e-01   9.181e-01        2007  m2p5z020_171.si         
     94  m2p5_4000           2.500e+00    2.500e+00   2.626e+00   4.756e-01   6.832e-01   9.181e-01        3944  m2p5z020_171.si         
     95  m3p0_1000           3.000e+00    3.000e+00   2.884e+00   5.427e-01   7.755e-01   1.035e+00        1104  m003z020_181.si         
     96  m3p0_2000           3.000e+00    3.000e+00   2.884e+00   5.427e-01   7.755e-01   1.035e+00        2036  m003z020_181.si         
     97  m3p0_4000           3.000e+00    3.000e+00   2.884e+00   5.427e-01   7.755e-01   1.035e+00        4000  m003z020_181.si         
     98  m3p0_7500           3.000e+00    3.000e+00   2.884e+00   5.427e-01   7.755e-01   1.035e+00        7506  m003z020_181.si         
     99  m40p0_16000         4.000e+01    3.722e+01   1.530e+01   2.729e+00   4.027e+00   5.444e+00       15254  m040E020_206.si         
    100  m40p0_2000          4.000e+01    3.722e+01   1.530e+01   2.729e+00   4.027e+00   5.444e+00        2055  m040E020_206.si         
    101  m40p0_4000          4.000e+01    3.722e+01   1.530e+01   2.729e+00   4.027e+00   5.444e+00        4020  m040E020_206.si         
    102  m40p0_8000          4.000e+01    3.722e+01   1.530e+01   2.729e+00   4.027e+00   5.444e+00        7602  m040E020_206.si         
    103  m4p0_1000           4.000e+00    4.000e+00   3.305e+00   6.672e-01   9.429e-01   1.242e+00        1108  m004z020_171.si         
    104  m4p0_2000           4.000e+00    4.000e+00   3.305e+00   6.672e-01   9.429e-01   1.242e+00        2074  m004z020_171.si         
    105  m4p0_4000           4.000e+00    4.000e+00   3.305e+00   6.672e-01   9.429e-01   1.242e+00        4075  m004z020_171.si         
    106  m4p0_7500           4.000e+00    4.000e+00   3.305e+00   6.672e-01   9.429e-01   1.242e+00        7575  m004z020_171.si         
    107  m5p0_1000           5.000e+00    5.000e+00   3.766e+00   7.844e-01   1.111e+00   1.470e+00        1112  m005z020_171.si         
    108  m5p0_2000           5.000e+00    5.000e+00   3.766e+00   7.844e-01   1.111e+00   1.470e+00        2080  m005z020_171.si         
    109  m5p0_4000           5.000e+00    5.000e+00   3.766e+00   7.844e-01   1.111e+00   1.470e+00        4004  m005z020_171.si         
    110  m5p0_7500           5.000e+00    5.000e+00   3.766e+00   7.844e-01   1.111e+00   1.470e+00        7633  m005z020_171.si         
    111  m60p0_16000         6.000e+01    5.157e+01   2.457e+01   3.224e+00   4.623e+00   6.414e+00       14772  m060E020_226.si         
    112  m60p0_2000          6.000e+01    5.157e+01   2.457e+01   3.224e+00   4.623e+00   6.414e+00        1997  m060E020_226.si         
    113  m60p0_4000          6.000e+01    5.157e+01   2.457e+01   3.224e+00   4.623e+00   6.414e+00        3880  m060E020_226.si         
    114  m60p0_8000          6.000e+01    5.157e+01   2.457e+01   3.224e+00   4.623e+00   6.414e+00        7806  m060E020_226.si         
    115  m7p0_2000           7.000e+00    7.000e+00   4.480e+00   9.737e-01   1.374e+00   1.788e+00        2064  m007z020_141.si         
    116  m7p0_4000           7.000e+00    7.000e+00   4.480e+00   9.737e-01   1.374e+00   1.788e+00        3782  m007z020_141.si         
    117  m7p0_8000           7.000e+00    7.000e+00   4.480e+00   9.737e-01   1.374e+00   1.788e+00        7767  m007z020_141.si         
    118  m85p0_16000         8.500e+01    7.421e+01   2.115e+01   3.926e+00   5.291e+00   6.984e+00       14861  m085E020_146.si         
    119  m85p0_2000          8.500e+01    7.421e+01   2.115e+01   3.926e+00   5.291e+00   6.984e+00        2093  m085E020_146.si         
    120  m85p0_4000          8.500e+01    7.421e+01   2.115e+01   3.926e+00   5.291e+00   6.984e+00        3794  m085E020_146.si         
    121  m85p0_8000          8.500e+01    7.421e+01   2.115e+01   3.926e+00   5.291e+00   6.984e+00        7728  m085E020_146.si         
    122  m9p0_2000           9.000e+00    8.996e+00   5.185e+00   1.160e+00   1.636e+00   2.096e+00        2089  m009z020_151.si         
    123  m9p0_4000           9.000e+00    8.996e+00   5.185e+00   1.160e+00   1.636e+00   2.096e+00        3792  m009z020_151.si         
    124  m9p0_8000           9.000e+00    8.996e+00   5.185e+00   1.160e+00   1.636e+00   2.096e+00        7796  m009z020_151.si         
    125  m0p5poly1p5_1000    5.000e-01    5.000e-01   4.350e-01   2.141e-01   2.745e-01   3.219e-01         889  m0p5poly1p5.si          
    126  m2p0poly3p0_4000    2.000e+00    2.000e+00   2.332e+00   6.253e-01   8.599e-01   1.108e+00        3963  m2p0poly3p0.si          
    127  m2p0_8000           2.000e+00    2.000e+00   2.332e+00   4.013e-01   5.863e-01   8.031e-01        7822  m002z020_181.si         
    128  m2p0_16000          2.000e+00    2.000e+00   2.332e+00   4.013e-01   5.863e-01   8.031e-01       14919  m002z020_181.si         
    129  m5p0_16000          5.000e+00    5.000e+00   3.766e+00   7.844e-01   1.111e+00   1.470e+00       14748  m005z020_171.si         
    130  m15p0_32000         1.500e+01    1.475e+01   7.127e+00   1.633e+00   2.304e+00   2.965e+00       31979  m015E020_186.si         
    131  m20p0_32000         2.000e+01    1.932e+01   8.774e+00   1.925e+00   2.783e+00   3.618e+00       31814  m020E020_186.si         
    132  m1p7_16000          1.700e+00    1.700e+00   2.050e+00   3.436e-01   5.036e-01   6.746e-01       16011  m1p7z02n_171.si         
    133  m2p5_16000          2.500e+00    2.500e+00   2.626e+00   4.756e-01   6.832e-01   9.181e-01       16221  m2p5z020_171.si         
    134  m4p0_16000          4.000e+00    4.000e+00   3.305e+00   6.672e-01   9.429e-01   1.242e+00       15908  m004z020_171.si         
    135  m4p0_32000          4.000e+00    4.000e+00   3.305e+00   6.672e-01   9.429e-01   1.242e+00       31654  m004z020_171.si         
