# SPH simulations of collisions between MS stars (Freitag & Benz 2005), computed with an SPH code developed by Willy Benz
# Available on-line at http://www.ast.cam.ac.uk/~freitag/MODEST_WG4/FB_Collision_Data/

# If you use these results, please cite Freitag & Benz 2005
# In case of questions, problems or if you want to report errors, contact Marc Freitag (marc.freitag@gmail.com)

# All quantities are in solar units: R_sun = 7e8 m; M_sun = 2e30 kg; G=1
# The reference frame is the CM frame for the pre-collision stars
# Axis Z is perpendicular to (initial) orbital plane. 
# Initially, the stars have their centres in the XY plane, see the diagram below:
#    
#         ____
#       .'    `.          Geometry of the initial conditions (at infinite separation)
#      /        \         CM reference frame
#  -   |    ==============>
#  |   \        /
#  |    `.____.'        Y ^
#  |         star 1       | 
#  |                      |                    _.-""""-._
#  | Impact               |                  .'          `.
#  | parameter            |                 /              \
#  |                      |---------> X    |                |
#  - - - - - - - - - - - - - - - - - - - - | <======        |
#                                          |                |
#                                           \              /
#                                            `._        _.'
#                                               `-....-' star 2 (more massive)

# Beware: 
#         - simulations are sorted according to their id number, _not_ to any sensible physical quantity

# Note: Stars are advanced from infinite separation to 3*(R1+R2) separation on point-mass, 
#       hyperbolic trajectories. The SPH simulation is started at that point (T=0)

# ----------------------------------------------------------------------------------------------
# This file contains a summary of initial conditions and outcomes for all collision simulations
# ----------------------------------------------------------------------------------------------

# The quantities in this file are the following:

# Coll_id      : Unique id number for the collision (same as in other files) 
# Mini1, Mini2 : Initial masses
# Vrel_inf     : Relative velocity at infinite separation
# ImpParam     : Impact parameter
# Mfin1, Mfin2 : Final masses
# Nstar        : Number of stars at the end of the simulation (0, 1 or 2)
# dM           : Fractional mass loss
# dE           : Fractional loss orbital energy (per unit mass)
# dL           : Fractional loss of orbital angular momentum (per unit mass)
# dTheta       : Difference between the deflection angle for the relative velocity and 
#                the value for point-mass Keplerian encounter dTheta=Theta_coll-Theta_Kep

Coll_id Mini1     Mini2     Vrel_inf  ImpParam  Mfin1     Mfin2     Nstar dM        dE         dL         dTheta    
     17 1.000e+00 1.000e+00 4.000e-01 5.000e-01 0.000e+00 1.827e+00     1 8.665e-02  1.000e+00  1.000e+00  0.000e+00
     18 1.000e+00 1.000e+00 6.000e-01 5.000e-01 0.000e+00 1.829e+00     1 8.573e-02  1.000e+00  1.000e+00  0.000e+00
     19 1.000e+00 1.000e+00 8.000e-01 5.000e-01 0.000e+00 1.823e+00     1 8.842e-02  1.000e+00  1.000e+00  0.000e+00
     20 1.000e+00 1.000e+00 1.000e+00 5.000e-01 0.000e+00 1.817e+00     1 9.133e-02  1.000e+00  1.000e+00  0.000e+00
     21 1.000e+00 1.000e+00 1.200e+00 5.000e-01 0.000e+00 1.809e+00     1 9.560e-02  1.000e+00  1.000e+00  0.000e+00
     22 1.000e+00 1.000e+00 1.600e+00 5.000e-01 0.000e+00 1.792e+00     1 1.039e-01  1.000e+00  1.000e+00  0.000e+00
     23 1.000e+00 1.000e+00 2.000e+00 5.000e-01 0.000e+00 1.734e+00     1 1.328e-01  1.000e+00  1.000e+00  0.000e+00
     24 1.000e+00 1.000e+00 2.500e+00 5.000e-01 8.625e-01 8.625e-01     2 1.375e-01  9.684e-01  4.753e-01 -3.603e-01
     25 1.000e+00 1.000e+00 3.000e+00 5.000e-01 8.367e-01 8.367e-01     2 1.633e-01  7.400e-01  4.896e-01 -3.958e-01
     26 1.000e+00 1.000e+00 1.000e-01 5.000e-01 0.000e+00 1.834e+00     1 8.297e-02  1.000e+00  1.000e+00  0.000e+00
     27 1.000e+00 1.000e+00 5.000e+00 0.000e+00 0.000e+00 6.971e-01     1 6.515e-01  1.000e+00  1.000e+00  0.000e+00
     29 1.000e+00 1.000e+00 3.000e+00 0.000e+00 0.000e+00 1.473e+00     1 2.634e-01  1.000e+00  1.000e+00  0.000e+00
     30 1.000e+00 1.000e+00 2.250e+00 5.000e-01 0.000e+00 1.627e+00     1 1.867e-01  1.000e+00  1.000e+00  0.000e+00
     31 1.000e+00 1.000e+00 2.250e+00 1.000e-01 0.000e+00 1.638e+00     1 1.812e-01  1.000e+00  1.000e+00  0.000e+00
     32 1.000e+00 1.000e+00 2.250e+00 2.000e-01 0.000e+00 1.650e+00     1 1.752e-01  1.000e+00  1.000e+00  0.000e+00
     33 1.000e+00 1.000e+00 2.250e+00 3.000e-01 0.000e+00 1.674e+00     1 1.628e-01  1.000e+00  1.000e+00  0.000e+00
     34 1.000e+00 1.000e+00 2.250e+00 4.000e-01 0.000e+00 1.695e+00     1 1.527e-01  1.000e+00  1.000e+00  0.000e+00
     35 1.000e+00 1.000e+00 1.000e-01 1.000e+00 0.000e+00 1.835e+00     1 8.257e-02  1.000e+00  1.000e+00  0.000e+00
     36 1.000e+00 1.000e+00 2.000e-01 1.000e+00 0.000e+00 1.835e+00     1 8.254e-02  1.000e+00  1.000e+00  0.000e+00
     37 1.000e+00 1.000e+00 3.000e-01 1.000e+00 0.000e+00 1.837e+00     1 8.140e-02  1.000e+00  1.000e+00  0.000e+00
     38 1.000e+00 1.000e+00 4.000e-01 1.000e+00 0.000e+00 1.839e+00     1 8.069e-02  1.000e+00  1.000e+00  0.000e+00
     40 1.000e+00 1.000e+00 8.000e-01 1.000e+00 0.000e+00 1.866e+00     1 6.689e-02  1.000e+00  1.000e+00  0.000e+00
     41 1.000e+00 1.000e+00 1.000e+00 1.000e+00 0.000e+00 1.879e+00     1 6.042e-02  1.000e+00  1.000e+00  0.000e+00
     42 1.000e+00 1.000e+00 1.200e+00 1.000e+00 0.000e+00 1.854e+00     1 7.316e-02  1.000e+00  1.000e+00  0.000e+00
     43 1.000e+00 1.000e+00 1.600e+00 1.000e+00 9.609e-01 9.609e-01     2 3.913e-02  8.385e-01  2.217e-01 -1.376e-01
     44 1.000e+00 1.000e+00 2.000e+00 1.000e+00 9.696e-01 9.696e-01     2 3.045e-02  3.885e-01  1.047e-01 -1.515e-01
     45 1.000e+00 1.000e+00 2.500e+00 1.000e+00 9.731e-01 9.731e-01     2 2.691e-02  1.922e-01  5.394e-02 -1.002e-01
     46 1.000e+00 1.000e+00 3.000e+00 1.000e+00 9.770e-01 9.770e-01     2 2.303e-02  1.194e-01  3.259e-02 -7.165e-02
     47 1.000e+00 1.000e+00 6.000e-01 1.000e+00 0.000e+00 1.852e+00     1 7.418e-02  1.000e+00  1.000e+00  0.000e+00
     49 1.000e+00 1.000e+00 2.250e+00 8.000e-01 9.369e-01 9.369e-01     2 6.307e-02  5.293e-01  1.734e-01 -2.275e-01
     50 1.000e+00 1.000e+00 5.800e+00 0.000e+00 0.000e+00 0.000e+00     0 1.000e+00  1.000e+00  1.000e+00  0.000e+00
     51 1.000e+00 1.000e+00 6.600e+00 0.000e+00 0.000e+00 0.000e+00     0 1.000e+00  1.000e+00  1.000e+00  0.000e+00
     52 1.000e+00 1.000e+00 1.000e-01 2.000e+00 0.000e+00 1.840e+00     1 8.015e-02  1.000e+00  1.000e+00  0.000e+00
     53 1.000e+00 1.000e+00 2.000e-01 2.000e+00 0.000e+00 1.842e+00     1 7.922e-02  1.000e+00  1.000e+00  0.000e+00
     54 1.000e+00 1.000e+00 3.000e-01 2.000e+00 0.000e+00 1.859e+00     1 7.025e-02  1.000e+00  1.000e+00  0.000e+00
     55 1.000e+00 1.000e+00 4.000e-01 2.000e+00 0.000e+00 1.884e+00     1 5.800e-02  1.000e+00  1.000e+00  0.000e+00
     56 1.000e+00 1.000e+00 6.000e-01 2.000e+00 0.000e+00 1.921e+00     1 3.925e-02  1.000e+00  1.000e+00  0.000e+00
     57 1.000e+00 1.000e+00 8.000e-01 2.000e+00 0.000e+00 1.922e+00     1 3.895e-02  1.000e+00  1.000e+00  0.000e+00
     62 1.000e+00 1.000e+00 1.000e+00 2.000e+00 9.953e-01 9.953e-01     2 4.713e-03  5.477e-01  6.496e-02  8.610e-03
     63 1.000e+00 1.000e+00 1.200e+00 2.000e+00 9.974e-01 9.974e-01     2 2.589e-03  1.733e-01  2.252e-02 -1.705e-02
     65 1.000e+00 1.000e+00 1.000e-01 1.000e-01 0.000e+00 1.834e+00     1 8.284e-02  1.000e+00  1.000e+00  0.000e+00
     66 1.000e+00 1.000e+00 2.000e-01 1.000e-01 0.000e+00 1.834e+00     1 8.296e-02  1.000e+00  1.000e+00  0.000e+00
     67 1.000e+00 1.000e+00 3.000e-01 1.000e-01 0.000e+00 1.826e+00     1 8.690e-02  1.000e+00  1.000e+00  0.000e+00
     68 1.000e+00 1.000e+00 4.000e-01 1.000e-01 0.000e+00 1.821e+00     1 8.933e-02  1.000e+00  1.000e+00  0.000e+00
     69 1.000e+00 1.000e+00 6.000e-01 1.000e-01 0.000e+00 1.811e+00     1 9.460e-02  1.000e+00  1.000e+00  0.000e+00
     70 1.000e+00 1.000e+00 8.000e-01 1.000e-01 0.000e+00 1.799e+00     1 1.007e-01  1.000e+00  1.000e+00  0.000e+00
     72 1.000e+00 1.000e+00 1.200e+00 1.000e-01 0.000e+00 1.776e+00     1 1.119e-01  1.000e+00  1.000e+00  0.000e+00
     73 1.000e+00 1.000e+00 1.600e+00 1.000e-01 0.000e+00 1.734e+00     1 1.328e-01  1.000e+00  1.000e+00  0.000e+00
     75 1.000e+00 1.000e+00 2.500e+00 1.000e-01 0.000e+00 1.592e+00     1 2.039e-01  1.000e+00  1.000e+00  0.000e+00
     77 1.000e+00 1.000e+00 1.000e-01 3.000e-01 0.000e+00 1.838e+00     1 8.090e-02  1.000e+00  1.000e+00  0.000e+00
     78 1.000e+00 1.000e+00 2.000e-01 3.000e-01 0.000e+00 1.838e+00     1 8.120e-02  1.000e+00  1.000e+00  0.000e+00
     79 1.000e+00 1.000e+00 3.000e-01 3.000e-01 0.000e+00 1.836e+00     1 8.210e-02  1.000e+00  1.000e+00  0.000e+00
     80 1.000e+00 1.000e+00 4.000e-01 3.000e-01 0.000e+00 1.830e+00     1 8.490e-02  1.000e+00  1.000e+00  0.000e+00
     81 1.000e+00 1.000e+00 6.000e-01 3.000e-01 0.000e+00 1.822e+00     1 8.920e-02  1.000e+00  1.000e+00  0.000e+00
     83 1.000e+00 1.000e+00 1.000e+00 3.000e-01 0.000e+00 1.808e+00     1 9.600e-02  1.000e+00  1.000e+00  0.000e+00
     84 1.000e+00 1.000e+00 1.200e+00 3.000e-01 0.000e+00 1.788e+00     1 1.058e-01  1.000e+00  1.000e+00  0.000e+00
     85 1.000e+00 1.000e+00 1.600e+00 3.000e-01 0.000e+00 1.756e+00     1 1.221e-01  1.000e+00  1.000e+00  0.000e+00
     87 1.000e+00 1.000e+00 2.500e+00 3.000e-01 0.000e+00 1.621e+00     1 1.893e-01  1.000e+00  1.000e+00  0.000e+00
     88 1.000e+00 1.000e+00 3.000e+00 3.000e-01 0.000e+00 1.465e+00     1 2.673e-01  1.000e+00  1.000e+00  0.000e+00
     89 1.000e+00 1.000e+00 1.000e-01 3.000e+00 0.000e+00 1.844e+00     1 7.793e-02  1.000e+00  1.000e+00  0.000e+00
     91 1.000e+00 1.000e+00 2.000e-01 3.000e+00 0.000e+00 1.863e+00     1 6.845e-02  1.000e+00  1.000e+00  0.000e+00
     92 1.000e+00 1.000e+00 3.000e-01 3.000e+00 0.000e+00 1.899e+00     1 5.070e-02  1.000e+00  1.000e+00  0.000e+00
     93 1.000e+00 1.000e+00 4.000e-01 3.000e+00 0.000e+00 1.926e+00     1 3.701e-02  1.000e+00  1.000e+00  0.000e+00
     94 1.000e+00 1.000e+00 6.000e-01 3.000e+00 9.949e-01 9.949e-01     2 5.066e-03  1.000e+00  1.000e+00  0.000e+00
     95 1.000e+00 1.000e+00 8.000e-01 3.000e+00 9.994e-01 9.994e-01     2 6.200e-04  1.979e-01  1.471e-02  1.849e-02
     96 1.000e+00 1.000e+00 1.000e+00 3.000e+00 9.999e-01 9.999e-01     2 5.400e-05  2.760e-02  4.333e-03  5.970e-03
     97 1.000e+00 1.000e+00 1.200e+00 3.000e+00 1.000e+00 1.000e+00     2 0.000e+00  9.906e-03  7.056e-03  3.469e-03
     98 1.000e+00 1.000e+00 1.600e+00 3.000e+00 1.000e+00 1.000e+00     2 0.000e+00  1.197e-03  4.862e-03  1.040e-04
     99 1.000e+00 1.000e+00 1.000e-01 5.000e+00 0.000e+00 1.854e+00     1 7.300e-02  1.000e+00  1.000e+00  0.000e+00
    100 1.000e+00 1.000e+00 1.000e-01 8.000e+00 0.000e+00 1.893e+00     1 5.330e-02  1.000e+00  1.000e+00  0.000e+00
    101 1.000e+00 1.000e+00 1.000e-01 1.200e+01 0.000e+00 1.938e+00     1 3.119e-02  1.000e+00  1.000e+00  0.000e+00
    102 1.000e+00 1.000e+00 1.000e-01 1.800e+01 9.969e-01 9.969e-01     2 3.104e-03  1.000e+00  1.000e+00  0.000e+00
    103 1.000e+00 1.000e+00 1.000e-01 2.600e+01 1.000e+00 1.000e+00     2 0.000e+00  1.000e+00  1.000e+00  0.000e+00
    104 1.000e+00 1.000e+00 1.000e-01 3.200e+01 1.000e+00 1.000e+00     2 0.000e+00  3.115e-01  6.312e-04  2.554e-02
    105 1.000e+00 1.000e+00 2.000e-01 5.000e+00 0.000e+00 1.914e+00     1 4.309e-02  1.000e+00  1.000e+00  0.000e+00
    106 1.000e+00 1.000e+00 2.000e-01 7.000e+00 0.000e+00 1.942e+00     1 2.919e-02  1.000e+00  1.000e+00  0.000e+00
    107 1.000e+00 1.000e+00 2.000e-01 9.000e+00 9.967e-01 9.967e-01     2 3.279e-03  1.000e+00  1.000e+00  0.000e+00
    108 1.000e+00 1.000e+00 2.000e-01 1.200e+01 9.999e-01 9.999e-01     2 5.800e-05  1.000e+00  1.000e+00  0.000e+00
    109 1.000e+00 1.000e+00 2.000e-01 1.500e+01 1.000e+00 1.000e+00     2 0.000e+00  2.308e-01  1.960e-03  4.381e-02
    110 1.000e+00 1.000e+00 3.000e-01 4.000e+00 0.000e+00 1.940e+00     1 3.025e-02  1.000e+00  1.000e+00  0.000e+00
    111 1.000e+00 1.000e+00 3.000e-01 6.000e+00 9.959e-01 9.959e-01     2 4.138e-03  1.000e+00  1.000e+00  0.000e+00
    112 1.000e+00 1.000e+00 3.000e-01 8.000e+00 9.998e-01 9.998e-01     2 1.550e-04  6.941e-01  2.192e-02  1.226e-01
    113 1.000e+00 1.000e+00 3.000e-01 1.000e+01 1.000e+00 1.000e+00     2 0.000e+00  1.004e-01  2.273e-03  3.175e-02
    114 1.000e+00 1.000e+00 4.000e-01 4.000e+00 0.000e+00 1.981e+00     1 9.296e-03  1.000e+00  1.000e+00  0.000e+00
    115 1.000e+00 1.000e+00 4.000e-01 5.000e+00 9.985e-01 9.985e-01     2 1.524e-03  1.000e+00  1.000e+00  0.000e+00
    116 1.000e+00 1.000e+00 4.000e-01 6.000e+00 9.999e-01 9.999e-01     2 1.450e-04  4.814e-01  1.303e-02  8.954e-02
    117 1.000e+00 1.000e+00 4.000e-01 8.000e+00 1.000e+00 1.000e+00     2 0.000e+00  2.780e-02  9.187e-04  1.266e-02
    118 1.000e+00 1.000e+00 6.000e-01 4.000e+00 9.997e-01 9.997e-01     2 3.150e-04  2.739e-01  1.452e-02  4.319e-02
    119 1.000e+00 1.000e+00 6.000e-01 5.000e+00 1.000e+00 1.000e+00     2 0.000e+00  3.185e-02  3.540e-03  1.704e-02
    121 1.000e+00 1.000e+00 1.000e+00 2.000e-01 0.000e+00 1.799e+00     1 1.007e-01  1.000e+00  1.000e+00  0.000e+00
    122 1.000e+00 1.000e+00 1.000e+00 4.000e+00 1.000e+00 1.000e+00     2 0.000e+00  4.044e-03  3.250e-04  1.625e-03
    123 1.000e+00 1.000e+00 1.000e+00 1.500e+00 0.000e+00 1.946e+00     1 2.707e-02  1.000e+00  1.000e+00  0.000e+00
    124 1.000e+00 1.000e+00 2.000e+00 5.000e-02 0.000e+00 1.684e+00     1 1.582e-01  1.000e+00  1.000e+00  0.000e+00
    125 1.000e+00 1.000e+00 2.000e+00 2.000e-01 0.000e+00 1.699e+00     1 1.506e-01  1.000e+00  1.000e+00  0.000e+00
    126 1.000e+00 1.000e+00 2.000e+00 4.000e-01 0.000e+00 1.734e+00     1 1.328e-01  1.000e+00  1.000e+00  0.000e+00
    127 1.000e+00 1.000e+00 2.000e+00 1.500e+00 9.943e-01 9.943e-01     2 5.657e-03  6.622e-02  1.340e-02 -2.854e-02
    128 1.000e+00 1.000e+00 2.000e+00 2.000e+00 9.990e-01 9.990e-01     2 1.043e-03  8.616e-03  1.960e-03 -5.038e-03
    129 1.000e+00 1.000e+00 2.000e+00 2.500e+00 1.000e+00 1.000e+00     2 0.000e+00  0.000e+00  7.760e-04 -8.030e-04
    130 1.000e+00 1.000e+00 2.000e+00 3.000e+00 1.000e+00 1.000e+00     2 0.000e+00  0.000e+00  4.033e-04  1.135e-03
    131 1.000e+00 1.000e+00 5.000e+00 5.000e-02 0.000e+00 7.123e-01     1 6.439e-01  1.000e+00  1.000e+00  0.000e+00
    132 1.000e+00 1.000e+00 5.000e+00 1.000e-01 0.000e+00 7.124e-01     1 6.438e-01  1.000e+00  1.000e+00  0.000e+00
    135 1.000e+00 1.000e+00 5.000e+00 6.000e-01 8.610e-01 8.610e-01     2 1.390e-01  3.142e-01  2.293e-01 -1.517e-01
    136 1.000e+00 1.000e+00 5.000e+00 1.000e+00 9.722e-01 9.722e-01     2 2.779e-02  6.970e-02  3.476e-02 -3.783e-02
    137 1.000e+00 1.000e+00 5.000e+00 1.500e+00 9.969e-01 9.969e-01     2 3.090e-03  7.698e-03  7.387e-04 -6.398e-03
    138 1.000e+00 1.000e+00 5.000e+00 2.000e+00 1.000e+00 1.000e+00     2 0.000e+00  2.448e-04  1.700e-04  6.890e-05
    139 1.000e+00 1.000e+00 5.000e+00 2.500e+00 1.000e+00 1.000e+00     2 0.000e+00  4.992e-04  5.440e-05  1.106e-04
    140 1.000e+00 1.000e+00 1.000e+01 0.000e+00 0.000e+00 0.000e+00     0 1.000e+00  1.000e+00  1.000e+00  0.000e+00
    141 1.000e+00 1.000e+00 1.000e+01 5.000e-02 0.000e+00 0.000e+00     0 1.000e+00  1.000e+00  1.000e+00  0.000e+00
    142 1.000e+00 1.000e+00 1.000e+01 1.000e-01 0.000e+00 0.000e+00     0 1.000e+00  1.000e+00  1.000e+00  0.000e+00
    143 1.000e+00 1.000e+00 1.000e+01 2.000e-01 0.000e+00 0.000e+00     0 1.000e+00  1.000e+00  1.000e+00  0.000e+00
    144 1.000e+00 1.000e+00 1.000e+01 4.000e-01 0.000e+00 1.387e-01     1 9.307e-01  1.000e+00  1.000e+00  0.000e+00
    145 1.000e+00 1.000e+00 1.000e+01 6.000e-01 6.945e-01 6.945e-01     2 3.055e-01  3.911e-01  4.077e-01 -6.664e-02
    146 1.000e+00 1.000e+00 1.000e+01 1.000e+00 9.462e-01 9.462e-01     2 5.384e-02  7.934e-02  6.258e-02 -2.721e-02
    147 1.000e+00 1.000e+00 1.000e+01 1.500e+00 9.929e-01 9.929e-01     2 7.103e-03  1.024e-02  0.000e+00 -5.672e-03
    148 1.000e+00 1.000e+00 1.000e+01 2.000e+00 9.999e-01 9.999e-01     2 1.120e-04  1.400e-04  1.628e-02 -2.448e-04
    149 1.000e+00 1.000e+00 1.000e+01 2.500e+00 1.000e+00 1.000e+00     2 0.000e+00  1.720e-04  9.776e-03 -3.033e-04
    150 8.000e-01 8.000e-01 1.000e-01 0.000e+00 0.000e+00 1.482e+00     1 7.384e-02  1.000e+00  1.000e+00  0.000e+00
    151 8.000e-01 8.000e-01 1.000e-01 5.000e-02 0.000e+00 1.484e+00     1 7.237e-02  1.000e+00  1.000e+00  0.000e+00
    152 8.000e-01 8.000e-01 1.000e-01 1.000e-01 0.000e+00 1.485e+00     1 7.186e-02  1.000e+00  1.000e+00  0.000e+00
    153 8.000e-01 8.000e-01 1.000e-01 2.000e-01 0.000e+00 1.486e+00     1 7.152e-02  1.000e+00  1.000e+00  0.000e+00
    154 8.000e-01 8.000e-01 1.000e-01 4.000e-01 0.000e+00 1.484e+00     1 7.226e-02  1.000e+00  1.000e+00  0.000e+00
    155 8.000e-01 8.000e-01 1.000e-01 6.000e-01 0.000e+00 1.482e+00     1 7.377e-02  1.000e+00  1.000e+00  0.000e+00
    156 8.000e-01 8.000e-01 1.000e-01 1.000e+00 0.000e+00 1.482e+00     1 7.384e-02  1.000e+00  1.000e+00  0.000e+00
    157 8.000e-01 8.000e-01 1.000e-01 2.000e+00 0.000e+00 1.486e+00     1 7.143e-02  1.000e+00  1.000e+00  0.000e+00
    158 8.000e-01 8.000e-01 1.000e-01 3.000e+00 0.000e+00 1.484e+00     1 7.261e-02  1.000e+00  1.000e+00  0.000e+00
    159 8.000e-01 8.000e-01 1.000e-01 5.000e+00 0.000e+00 1.496e+00     1 6.531e-02  1.000e+00  1.000e+00  0.000e+00
    160 8.000e-01 8.000e-01 1.000e-01 8.000e+00 0.000e+00 1.535e+00     1 4.066e-02  1.000e+00  1.000e+00  0.000e+00
    161 8.000e-01 8.000e-01 1.000e-01 1.200e+01 0.000e+00 1.566e+00     1 2.095e-02  1.000e+00  1.000e+00  0.000e+00
    162 8.000e-01 8.000e-01 1.000e-01 1.800e+01 8.000e-01 8.000e-01     2 0.000e+00  1.000e+00  1.000e+00  0.000e+00
    163 8.000e-01 8.000e-01 1.000e-01 2.200e+01 8.000e-01 8.000e-01     2 0.000e+00  1.000e+00  1.000e+00  0.000e+00
    164 8.000e-01 8.000e-01 1.000e-01 2.600e+01 8.000e-01 8.000e-01     2 0.000e+00  8.106e-02  2.019e-04  7.980e-03
    165 8.000e-01 1.000e+00 1.000e-01 0.000e+00 0.000e+00 1.658e+00     1 7.915e-02  1.000e+00  1.000e+00  0.000e+00
    166 8.000e-01 1.000e+00 1.000e-01 5.000e-02 0.000e+00 1.655e+00     1 8.049e-02  1.000e+00  1.000e+00  0.000e+00
    167 8.000e-01 1.000e+00 1.000e-01 1.000e-01 0.000e+00 1.657e+00     1 7.931e-02  1.000e+00  1.000e+00  0.000e+00
    168 8.000e-01 1.000e+00 1.000e-01 2.000e-01 0.000e+00 1.661e+00     1 7.718e-02  1.000e+00  1.000e+00  0.000e+00
    169 8.000e-01 1.000e+00 1.000e-01 4.000e-01 0.000e+00 1.660e+00     1 7.751e-02  1.000e+00  1.000e+00  0.000e+00
    170 8.000e-01 1.000e+00 1.000e-01 6.000e-01 0.000e+00 1.661e+00     1 7.745e-02  1.000e+00  1.000e+00  0.000e+00
    171 8.000e-01 1.000e+00 1.000e-01 1.000e+00 0.000e+00 1.657e+00     1 7.965e-02  1.000e+00  1.000e+00  0.000e+00
    172 8.000e-01 1.000e+00 1.000e-01 2.000e+00 0.000e+00 1.659e+00     1 7.844e-02  1.000e+00  1.000e+00  0.000e+00
    173 8.000e-01 1.000e+00 1.000e-01 3.000e+00 0.000e+00 1.662e+00     1 7.655e-02  1.000e+00  1.000e+00  0.000e+00
    174 8.000e-01 1.000e+00 1.000e-01 5.000e+00 0.000e+00 1.678e+00     1 6.792e-02  1.000e+00  1.000e+00  0.000e+00
    175 8.000e-01 1.000e+00 1.000e-01 8.000e+00 0.000e+00 1.715e+00     1 4.712e-02  1.000e+00  1.000e+00  0.000e+00
    176 8.000e-01 1.000e+00 1.000e-01 1.200e+01 0.000e+00 1.754e+00     1 2.569e-02  1.000e+00  1.000e+00  0.000e+00
    177 8.000e-01 1.000e+00 1.000e-01 1.800e+01 1.003e+00 7.950e-01     2 1.215e-03  1.000e+00  1.000e+00  0.000e+00
    178 8.000e-01 1.000e+00 1.000e-01 2.200e+01 8.008e-01 9.992e-01     2 3.331e-05  1.000e+00  1.000e+00  0.000e+00
    179 8.000e-01 1.000e+00 1.000e-01 2.600e+01 8.004e-01 9.996e-01     2 0.000e+00  1.000e+00  1.000e+00  0.000e+00
    180 8.000e-01 8.000e-01 1.000e-01 1.400e+01 0.000e+00 1.583e+00     1 1.044e-02  1.000e+00  1.000e+00  0.000e+00
